      1,    0.10000000E+01   0.13067122E-08   0.51184400E-12   0.29130724E+01   0.10000000E+01  -0.13443241E-08  -0.49549689E-12   0.51873386E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      2,    0.10000000E+01   0.25925649E+00   0.26311147E-08   0.14757984E+01   0.10000000E+01  -0.25925649E+00  -0.24740364E-08   0.52065385E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      3,    0.10686165E+01   0.26928210E+00   0.50928651E-08   0.83585235E+00   0.74152807E+00  -0.26928212E+00  -0.49021082E-08   0.52244535E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      4,    0.11086267E+01   0.24724330E+00   0.73858830E-08   0.55153932E+00   0.53155919E+00  -0.24724336E+00  -0.72885066E-08   0.52410838E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      5,    0.11327260E+01   0.23092590E+00   0.95089077E-08   0.43055040E+00   0.39872052E+00  -0.23092598E+00  -0.96370040E-08   0.52564301E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      6,    0.11397531E+01   0.21845240E+00   0.11755623E-07   0.35902503E+00   0.31915465E+00  -0.21845253E+00  -0.11949956E-07   0.52704933E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      7,    0.11527278E+01   0.20410717E+00   0.13980723E-07   0.31191777E+00   0.26976665E+00  -0.20410736E+00  -0.14228465E-07   0.52832747E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      8,    0.11539494E+01   0.19651499E+00   0.16169563E-07   0.27790106E+00   0.23664148E+00  -0.19651520E+00  -0.16479462E-07   0.52947760E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
      9,    0.11606754E+01   0.18668163E+00   0.18336275E-07   0.25127586E+00   0.21260843E+00  -0.18668192E+00  -0.18699393E-07   0.53049990E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     10,    0.11598559E+01   0.18063126E+00   0.20479461E-07   0.22974287E+00   0.19409604E+00  -0.18063158E+00  -0.20893148E-07   0.53139462E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     11,    0.11641647E+01   0.17288158E+00   0.22600600E-07   0.21234205E+00   0.17924128E+00  -0.17288200E+00  -0.23060650E-07   0.53216201E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     12,    0.11642509E+01   0.16831862E+00   0.24693824E-07   0.19761035E+00   0.16698184E+00  -0.16831908E+00  -0.25207003E-07   0.53280236E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     13,    0.11652337E+01   0.16263461E+00   0.26764458E-07   0.18485056E+00   0.15665394E+00  -0.16263510E+00  -0.27326917E-07   0.53331600E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     14,    0.11663115E+01   0.15819466E+00   0.28815824E-07   0.17386152E+00   0.14781219E+00  -0.15819526E+00  -0.29432807E-07   0.53369586E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     15,    0.11646846E+01   0.15400537E+00   0.30843960E-07   0.16423233E+00   0.14014258E+00  -0.15400602E+00  -0.31518864E-07   0.53394092E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     16,    0.11665653E+01   0.14952301E+00   0.32853443E-07   0.15559463E+00   0.13341585E+00  -0.14952379E+00  -0.33585520E-07   0.53405934E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     17,    0.11664252E+01   0.14639219E+00   0.34850972E-07   0.14790996E+00   0.12746021E+00  -0.14639301E+00  -0.35638272E-07   0.53405161E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     18,    0.11654413E+01   0.14284963E+00   0.36831597E-07   0.14100739E+00   0.12214410E+00  -0.14285050E+00  -0.37682602E-07   0.53391823E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     19,    0.11663957E+01   0.13952420E+00   0.38797381E-07   0.13468529E+00   0.11736493E+00  -0.13952521E+00  -0.39714336E-07   0.53365974E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     20,    0.11659733E+01   0.13682705E+00   0.40750496E-07   0.12895314E+00   0.11304145E+00  -0.13682812E+00  -0.41735761E-07   0.53327672E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     21,    0.11650012E+01   0.13388195E+00   0.42693393E-07   0.12370816E+00   0.10910838E+00  -0.13388308E+00  -0.43749262E-07   0.53276720E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     22,    0.11656378E+01   0.13117045E+00   0.44633300E-07   0.11883845E+00   0.10551262E+00  -0.13117174E+00  -0.45757304E-07   0.53211309E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     23,    0.11652868E+01   0.12888435E+00   0.46566539E-07   0.11436630E+00   0.10221052E+00  -0.12888570E+00  -0.47762416E-07   0.53133550E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     24,    0.11640327E+01   0.12643449E+00   0.49157908E-07   0.11080506E+00   0.99165828E-01  -0.12643589E+00  -0.49767174E-07   0.53043516E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     25,    0.11645732E+01   0.12405678E+00   0.52145814E-07   0.11144591E+00   0.96348161E-01  -0.12405837E+00  -0.52321015E-07   0.52941279E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     26,    0.11644175E+01   0.12212207E+00   0.55213351E-07   0.11211001E+00   0.93731852E-01  -0.12212371E+00  -0.55396691E-07   0.52826918E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     27,    0.11635795E+01   0.12007160E+00   0.58361914E-07   0.11279785E+00   0.91295059E-01  -0.12007330E+00  -0.58553455E-07   0.52698364E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     28,    0.11632920E+01   0.11793135E+00   0.61592927E-07   0.11350996E+00   0.89019065E-01  -0.11793312E+00  -0.61792729E-07   0.52557107E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     29,    0.11633604E+01   0.11623676E+00   0.64907845E-07   0.11424689E+00   0.86887731E-01  -0.11623874E+00  -0.65115959E-07   0.52403919E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     30,    0.11628991E+01   0.11450702E+00   0.68308143E-07   0.11500924E+00   0.84887063E-01  -0.11450906E+00  -0.68524618E-07   0.52238893E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     31,    0.11619439E+01   0.11270849E+00   0.71795326E-07   0.11579762E+00   0.83004860E-01  -0.11271060E+00  -0.72020199E-07   0.52061213E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     32,    0.11621112E+01   0.11101970E+00   0.75370918E-07   0.11661269E+00   0.81230432E-01  -0.11102202E+00  -0.75604220E-07   0.51869626E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     33,    0.11619736E+01   0.10954844E+00   0.79036467E-07   0.11745514E+00   0.79554371E-01  -0.10955084E+00  -0.80201916E-07   0.51666460E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     34,    0.11614405E+01   0.10802278E+00   0.82794838E-07   0.11832569E+00   0.77968360E-01  -0.10802526E+00  -0.85542492E-07   0.51451818E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     35,    0.11606765E+01   0.10645327E+00   0.86651122E-07   0.11922511E+00   0.76465017E-01  -0.10645582E+00  -0.91123299E-07   0.51224640E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     36,    0.11608093E+01   0.10506336E+00   0.90612128E-07   0.12015420E+00   0.75037767E-01  -0.10506615E+00  -0.96937674E-07   0.50984009E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     37,    0.11606207E+01   0.10375778E+00   0.94984060E-07   0.12111382E+00   0.73680733E-01  -0.10376066E+00  -0.10297900E-06   0.50732225E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     38,    0.11601276E+01   0.10241576E+00   0.10038922E-06   0.12210486E+00   0.72388640E-01  -0.10241871E+00  -0.10924131E-06   0.50081676E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     39,    0.11594273E+01   0.10104409E+00   0.10607276E-06   0.12312827E+00   0.71156746E-01  -0.10104712E+00  -0.11572320E-06   0.48518972E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     40,    0.11595177E+01   0.99831773E-01   0.11201843E-06   0.12418502E+00   0.69980768E-01  -0.99835061E-01  -0.12241722E-06   0.47019997E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     41,    0.11593559E+01   0.98674743E-01   0.11829001E-06   0.12527617E+00   0.68856832E-01  -0.98678117E-01  -0.12932396E-06   0.45580433E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     42,    0.11589537E+01   0.97492130E-01   0.12487699E-06   0.12640281E+00   0.67781422E-01  -0.97495589E-01  -0.13643716E-06   0.44196347E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     43,    0.11583230E+01   0.96288517E-01   0.13172360E-06   0.12756610E+00   0.66751340E-01  -0.96292060E-01  -0.14375527E-06   0.42864153E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     44,    0.11582753E+01   0.95180710E-01   0.13882208E-06   0.12876725E+00   0.65763670E-01  -0.95184532E-01  -0.15127637E-06   0.41580569E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     45,    0.11581774E+01   0.94153408E-01   0.14616358E-06   0.13000755E+00   0.64815747E-01  -0.94157321E-01  -0.15899825E-06   0.40342592E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     46,    0.11578862E+01   0.93107477E-01   0.15374172E-06   0.13128834E+00   0.63905130E-01  -0.93111480E-01  -0.16691838E-06   0.39147459E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     47,    0.11574099E+01   0.92046108E-01   0.16154965E-06   0.13261105E+00   0.63029578E-01  -0.92050200E-01  -0.17503390E-06   0.37992633E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     48,    0.11570853E+01   0.90998631E-01   0.16958765E-06   0.13397716E+00   0.62187030E-01  -0.91003020E-01  -0.18334233E-06   0.36875774E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     49,    0.11570668E+01   0.90083565E-01   0.17784417E-06   0.13538826E+00   0.61375590E-01  -0.90088051E-01  -0.19185030E-06   0.35794720E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     50,    0.11568902E+01   0.89154550E-01   0.18631600E-06   0.13684602E+00   0.60593503E-01  -0.89159132E-01  -0.20054648E-06   0.34747475E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     51,    0.11565617E+01   0.88213872E-01   0.19500527E-06   0.13835217E+00   0.59839152E-01  -0.88218549E-01  -0.20942900E-06   0.33732187E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     52,    0.11560873E+01   0.87263653E-01   0.20390317E-06   0.13990858E+00   0.59111034E-01  -0.87268424E-01  -0.21850864E-06   0.32747140E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     53,    0.11560037E+01   0.86382080E-01   0.21300641E-06   0.14151719E+00   0.58407758E-01  -0.86387173E-01  -0.22785194E-06   0.31790738E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     54,    0.11559374E+01   0.85553322E-01   0.22231153E-06   0.14318006E+00   0.57728031E-01  -0.85558517E-01  -0.23757107E-06   0.30861500E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     55,    0.11557446E+01   0.84715587E-01   0.23181848E-06   0.14489937E+00   0.57070651E-01  -0.84720882E-01  -0.24748323E-06   0.29958042E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     56,    0.11554300E+01   0.83870440E-01   0.24152538E-06   0.14667741E+00   0.56434495E-01  -0.83875835E-01  -0.25758766E-06   0.29079076E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     57,    0.11549981E+01   0.83019343E-01   0.25142526E-06   0.14851661E+00   0.55818517E-01  -0.83024837E-01  -0.26789451E-06   0.28223399E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     58,    0.11550068E+01   0.82243610E-01   0.26151347E-06   0.15041953E+00   0.55221742E-01  -0.82249450E-01  -0.27838292E-06   0.27389886E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     59,    0.11549361E+01   0.81494268E-01   0.27179481E-06   0.15238891E+00   0.54643255E-01  -0.81500214E-01  -0.28907792E-06   0.26577484E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     60,    0.11547625E+01   0.80739119E-01   0.28226700E-06   0.15442760E+00   0.54082199E-01  -0.80745171E-01  -0.29994976E-06   0.25785206E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     61,    0.11544895E+01   0.79979270E-01   0.29291608E-06   0.15653865E+00   0.53537772E-01  -0.79985428E-01  -0.31102672E-06   0.25012128E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     62,    0.11541205E+01   0.79215760E-01   0.30376149E-06   0.15872530E+00   0.53009221E-01  -0.79222022E-01  -0.32227723E-06   0.24257382E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     63,    0.11541220E+01   0.78506892E-01   0.31478055E-06   0.16099095E+00   0.52495837E-01  -0.78513523E-01  -0.33373584E-06   0.23520151E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     64,    0.11540718E+01   0.77829467E-01   0.32598690E-06   0.16333923E+00   0.51996955E-01  -0.77836209E-01  -0.34536851E-06   0.22799669E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     65,    0.11539366E+01   0.77148344E-01   0.33736846E-06   0.16577400E+00   0.51511946E-01  -0.77155197E-01  -0.35720233E-06   0.22095214E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     66,    0.11537192E+01   0.76464325E-01   0.34893441E-06   0.16829935E+00   0.51040219E-01  -0.76471289E-01  -0.36921959E-06   0.21406106E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     67,    0.11534220E+01   0.75778169E-01   0.36067135E-06   0.17091960E+00   0.50581217E-01  -0.75785241E-01  -0.38142601E-06   0.20731703E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     68,    0.11533520E+01   0.75110952E-01   0.37259686E-06   0.17363939E+00   0.50134411E-01  -0.75118417E-01  -0.39383213E-06   0.20071401E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     69,    0.11533358E+01   0.74498346E-01   0.38468264E-06   0.17646363E+00   0.49699305E-01  -0.74505928E-01  -0.40641416E-06   0.19424629E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
     70,    0.11532486E+01   0.73883501E-01   0.39696925E-06   0.17939755E+00   0.49275425E-01  -0.73891198E-01  -0.41921138E-06   0.18790847E-01   0.00000000E+00   0.00000000E+00   0.00000000E+00
